app_name,developer_name,regulated_entity,source_date,source_url,platform,app_url,raw_app_url,package_id,source_record_no,is_demo
Innotech Creditsea Platforms Private Limited,Innotech Creditsea Platforms Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,https://apps.apple.com/in/app/creditsea-personal-loan-app/id6743390338,https://apps.apple.com/in/app/creditsea-personal-loan-app/id6743390338,,2409,0
Innotech Creditsea Platforms Private Limited,Innotech Creditsea Platforms Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Google Play Store,https://play.google.com/store/apps/details?id=com.creditsea.app,https://play.google.com/store/apps/details?id=com.creditsea.app,com.creditsea.app,2410,0
Innotech Creditsea Platforms Private Limited,Innotech Creditsea Platforms Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.creditsea.com,https://www.creditsea.com,,2411,0
MoneyTap,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Apple App Store,https://apps.apple.com/in/app/moneytap-is-now-freo-credit/id1374771286,https://apps.apple.com/in/app/moneytap-is-now-freo-credit/id1374771286,,2412,0
MoneyTap,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Google Play Store,https://play.google.com/store/apps/details?id=com.mycash.moneytap.app,https://play.google.com/store/apps/details?id=com.mycash.moneytap.app,com.mycash.moneytap.app,2413,0
MoneyTap,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,IndusApp,https://play.google.com/store/apps/details?id=com.mycash.moneytap.app,https://www.indusappstore.com/apps/finance/moneytap/com.mycash.moneytap.app/?page=details&id=com.mycash.moneytap.app,com.mycash.moneytap.app,2414,0
MoneyTap,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Oppo App Store,oaps://mk/dt?pkg=com.mycash.moneytap.app&style=1,oaps://mk/dt?pkg=com.mycash.moneytap.app&style=1,,2415,0
MoneyTap,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Vivo Market,https://play.google.com/store/apps/details?id=com.mycash.moneytap.app,vivomarket://details?id=com.mycash.moneytap.app,com.mycash.moneytap.app,2416,0
MoneyTap,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.moneytap.com,www.moneytap.com,,2417,0
Digital Quick Cash,Tata Capital Housing Finance Ltd.,TATA CAPITAL HOUSING FINANCE LTD.,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://instaloan.tatacapital.com/insta-hl/loans/home-loans/home?sourceName=DQC,https://instaloan.tatacapital.com/insta-hl/loans/home-loans/home?sourceName=DQC,,2418,0
HL Online,Tata Capital Housing Finance Ltd.,TATA CAPITAL HOUSING FINANCE LTD.,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,"""https://www.tatacapital.com/online/loans/home-loans/apply-now-home-loan?sourceName=Website&cidparameter=#! ""","""https://www.tatacapital.com/online/loans/home-loans/apply-now-home-loan?sourceName=Website&cidparameter=#! """,,2419,0
TATA Capital Loan App & Wealth,Tata Capital Housing Finance Ltd.,TATA CAPITAL HOUSING FINANCE LTD.,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,TATA Capithttps://www.tatacapital.com/tchfl.htmlal Loan & Wealth App on the App?Store,TATA Capithttps://www.tatacapital.com/tchfl.htmlal Loan & Wealth App on the App?Store,,2420,0
TATA Capital Loan App & Wealth,Tata Capital Housing Finance Ltd.,TATA CAPITAL HOUSING FINANCE LTD.,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play Store,Tata Capital Loan App & Wealth - Apps on Google Play,Tata Capital Loan App & Wealth - Apps on Google Play,,2421,0
Famescore Pvt Ltd [Other - Disbursal Drawdown],FinAGG Services Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play store,https://play.google.com/store/apps/details?id=com.finagg.retailerApp,https://play.google.com/store/apps/details?id=com.finagg.retailerApp&hl=en_IN,com.finagg.retailerApp,2422,0
Famescore Pvt Ltd [Other - Disbursal Drawdown],FinAGG Services Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play store,https://play.google.com/store/apps/details?id=com.finagg.retailerApp,https://play.google.com/store/apps/details?id=com.finagg.retailerApp&hl=en_IN,com.finagg.retailerApp,2423,0
Famescore Pvt Ltd [Other - Disbursal Drawdown],FinAGG Services Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.finagg.in/,https://www.finagg.in/,,2424,0
Famescore Pvt Ltd [Other - Disbursal Drawdown],FinAGG Services Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.finagg.in/,https://www.finagg.in/,,2425,0
Fibe,Social Worth Technologies Limited,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,https://apps.apple.com/in/app/fibe-instant-personal-loan-app/id1094602630,https://apps.apple.com/in/app/fibe-instant-personal-loan-app/id1094602630,,2426,0
Fibe,Social Worth Technologies Limited,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,https://apps.apple.com/in/app/fibe-instant-personal-loan-app/id1094602630,https://apps.apple.com/in/app/fibe-instant-personal-loan-app/id1094602630,,2427,0
Fibe,Social Worth Technologies Limited,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play store,https://play.google.com/store/apps/details?id=com.earlysalary.android,https://play.google.com/store/apps/details?id=com.earlysalary.android,com.earlysalary.android,2428,0
